,Site,Fish_no,Spp,Section,FL_mm,Wt_g,Scale,Mort
334,6,641,Omy,3,53,1.6,N,N
335,6,642,Omy,3,63,3.2,N,N
336,6,643,Omy,3,55,2,N,N
337,6,644,Omy,3,62,3,N,N
338,6,645,Omy,3,68,3.6,N,N
339,6,646,Omy,3,66,3.3,N,N
340,6,647,Omy,3,65,3,N,N
341,6,648,Omy,3,67,3.5,N,N
342,6,649,Omy,3,66,3.3,N,N
343,6,650,Omy,3,69,3.5,N,N
344,6,651,Omy,4,69,4,N,N
345,6,652,Omy,4,61,2.8,N,N
346,6,653,Omy,4,53,1.7,N,N
347,6,654,Omy,4,67,3.5,N,N
348,6,655,Omy,4,68,3.5,N,N
349,6,656,Omy,4,63,2.8,N,N
350,6,657,Omy,4,70,3.9,N,N
351,6,658,Omy,4,60,2.3,N,N
352,6,659,Omy,4,60,2.7,N,N
353,6,660,Omy,4,64,2.9,N,N
354,6,661,Omy,4,52,1.6,N,N
355,6,662,Omy,4,55,1.9,N,N
356,6,663,Omy,4,56,1.9,N,N
357,6,664,Omy,4,64,3.1,N,N
358,6,665,Omy,5,59,2.7,N,N
359,6,666,Omy,5,56,1.9,N,N
360,6,667,Omy,5,54,1.7,N,N
361,6,668,Omy,5,54,1.9,N,N
362,6,669,Omy,5,51,1.3,N,N
363,6,670,Omy,5,52,1.5,N,N
364,6,671,Omy,5,53,1.9,N,N
365,6,672,Omy,5,75,5.1,N,N
366,6,673,Omy,5,69,3.5,N,N
367,6,674,Omy,5,58,2.4,N,N
368,6,675,Omy,5,54,1.9,N,N
369,9,901,Omy,1,52,1.7,N,Y
370,9,902,Omy,1,59,2.5,N,N
371,9,903,Omy,1,50,1.5,N,N
372,9,904,Omy,1,58,1.9,N,N
373,9,905,Omy,1,65,2.9,N,N
374,9,906,Omy,1,66,3.4,N,N
375,9,907,Omy,1,86,7.1,Y,N
376,9,908,Omy,5,47,1.1,N,N
377,9,909,Omy,5,62,2.8,N,N
378,9,910,Omy,5,56,2,N,N
379,9,911,Omy,5,66,3.5,N,N
380,9,912,Omy,5,65,2.8,N,N
381,9,913,Omy,5,74,4.4,N,N
382,9,914,Omy,5,56,1.9,N,N
383,9,915,Omy,5,53,1.8,N,N
384,9,916,Omy,5,52,1.8,N,N
385,9,917,Omy,5,80,6.4,Y,N
386,9,918,Omy,5,92,9.1,Y,N
387,9,919,Omy,2,65,3.3,N,N
388,9,920,Omy,2,79,5.6,Y,N
389,9,921,Omy,2,72,4,N,N
390,9,922,Omy,2,70,3.8,N,N
391,9,923,Omy,2,70,4,N,N
392,9,924,Omy,2,69,3.5,N,N
393,9,925,Omy,2,67,3.6,N,N
394,9,926,Omy,2,75,4.9,N,N
395,9,927,Omy,2,77,5.1,N,N
396,9,928,Omy,2,73,4.4,N,N
397,9,929,Omy,2,77,5,N,N
398,9,930,Omy,2,74,4.4,N,N
399,9,931,Omy,2,65,3.1,N,N
400,9,932,Omy,2,77,4.6,N,N
401,9,933,Omy,2,91,8.6,Y,N
402,9,934,Omy,3,77,6,N,N
403,9,935,Omy,3,80,7.2,Y,N
404,9,936,Omy,3,67,3.2,N,N
405,9,937,Omy,3,64,3.1,N,N
406,9,938,Omy,3,69,3.5,N,N
407,9,939,Omy,3,64,3.3,N,N
408,9,940,Omy,3,64,3.4,N,N
409,9,941,Omy,3,69,4.1,N,N
410,9,942,Omy,3,66,3,N,N
411,9,943,Omy,3,62,3.4,N,N
412,9,944,Omy,3,78,6.2,N,N
413,9,945,Omy,3,69,3.8,N,N
414,9,946,Omy,3,62,2.9,N,N
415,9,947,Omy,1,62,2.9,N,N
416,9,948,Omy,4,64,2.8,N,N
417,9,949,Omy,4,60,2.5,N,N
418,9,950,Omy,4,55,1.8,N,N
419,9,951,Omy,4,63,2.8,N,N
420,9,952,Omy,4,73,5.2,N,N
421,9,953,Omy,4,67,3.3,N,N
422,9,954,Omy,4,63,2.7,N,N
423,9,955,Omy,4,74,4.6,N,N
424,9,956,Omy,4,79,5.7,Y,N
425,10,1001,Omy,5,59,2.2,N,Y
426,10,1002,Omy,5,59,2,N,N
427,10,1003,Omy,5,53,1.5,N,N
428,10,1004,Omy,5,61,2.8,N,N
429,10,1005,Omy,5,63,3.2,N,N
430,10,1006,Omy,5,67,3.9,N,N
431,10,1007,Omy,5,58,2.2,N,N
432,10,1008,Omy,5,65,3.3,N,N
433,10,1009,Omy,5,59,2.5,N,N
434,10,1010,Omy,5,62,2.8,N,N
435,10,1011,Omy,5,54,2,N,N
436,10,1012,Omy,5,55,2.1,N,N
437,10,1013,Omy,5,51,1.5,N,N
438,10,1014,Omy,5,51,1.1,N,N
439,10,1015,Omy,5,48,1.4,N,N
440,10,1016,Omy,2,47,1.3,N,N
441,10,1017,Omy,2,62,3.1,N,N
442,10,1018,Omy,2,68,3.5,N,N
443,10,1019,Omy,2,62,2.7,N,N
444,10,1020,Omy,2,67,3.2,N,N
445,10,1021,Omy,2,65,3,N,N
446,10,1022,Omy,2,64,3.2,N,N
447,10,1023,Omy,2,70,3.7,N,N
448,10,1024,Omy,2,55,1.7,N,N
449,10,1025,Omy,2,63,2.8,N,N
